k,count,claims,claim_rate,feature
d10k_plus|2a36,66,5,0.07575757575757576,days_fixed×region
d5k_7k|908d,94,7,0.07446808510638298,days_fixed×region
d2500_5k|a539,41,3,0.07317073170731707,days_fixed×region
d700_2500|abb2,41,3,0.07317073170731707,days_fixed×region
d2500_5k|2a36,127,9,0.07086614173228346,days_fixed×region
d700_2500|9685,399,28,0.07017543859649122,days_fixed×region
d0_700|1d96,167,11,0.0658682634730539,days_fixed×region
d700_2500|6645,168,11,0.06547619047619048,days_fixed×region
d9k_10k|a539,46,3,0.06521739130434782,days_fixed×region
d7k_9k|fa70,48,3,0.0625,days_fixed×region
d2500_5k|908d,181,11,0.06077348066298342,days_fixed×region
d5k_7k|2a36,83,5,0.060240963855421686,days_fixed×region
d2500_5k|fa70,67,4,0.05970149253731343,days_fixed×region
d10k_plus|22b5,52,3,0.057692307692307696,days_fixed×region
d700_2500|fafc,112,6,0.05357142857142857,days_fixed×region
d700_2500|f167,169,9,0.05325443786982249,days_fixed×region
d0_700|8a21,227,12,0.05286343612334802,days_fixed×region
d5k_7k|fafc,76,4,0.05263157894736842,days_fixed×region
d0_700|9685,168,8,0.047619047619047616,days_fixed×region
d9k_10k|22b5,64,3,0.046875,days_fixed×region
d700_2500|fa70,65,3,0.046153846153846156,days_fixed×region
d700_2500|1d96,458,21,0.04585152838427948,days_fixed×region
d0_700|fafc,66,3,0.045454545454545456,days_fixed×region
d700_2500|908d,252,11,0.04365079365079365,days_fixed×region
d5k_7k|ab86,46,2,0.043478260869565216,days_fixed×region
d0_700|f09d,194,8,0.041237113402061855,days_fixed×region
d2500_5k|22b5,49,2,0.04081632653061224,days_fixed×region
d700_2500|f09d,543,22,0.040515653775322284,days_fixed×region
d700_2500|2a36,195,5,0.02564102564102564,days_fixed×region
d7k_9k|2a36,86,2,0.023255813953488372,days_fixed×region
d700_2500|90fc,44,1,0.022727272727272728,days_fixed×region
d2500_5k|08d1,44,1,0.022727272727272728,days_fixed×region
d0_700|f167,60,1,0.016666666666666666,days_fixed×region
d700_2500|c1f5,79,0,0.0,days_fixed×region
1_1|bin_3,128,22,0.171875,w_pair×days_q5
0_0|bin_3,140,23,0.16428571428571428,w_pair×days_q5
1_1|bin_4,130,20,0.15384615384615385,w_pair×days_q5
0_1|bin_3,1849,266,0.14386154678204435,w_pair×days_q5
0_1|bin_4,2215,291,0.13137697516930022,w_pair×days_q5
1_0|bin_3,869,110,0.12658227848101267,w_pair×days_q5
0_0|bin_4,151,19,0.12582781456953643,w_pair×days_q5
0_1|bin_2,1517,177,0.11667765326301911,w_pair×days_q5
0_0|bin_2,141,16,0.11347517730496454,w_pair×days_q5
1_0|bin_4,490,48,0.09795918367346938,w_pair×days_q5
1_1|bin_1,158,15,0.0949367088607595,w_pair×days_q5
1_1|bin_2,144,12,0.08333333333333333,w_pair×days_q5
1_0|bin_2,1184,98,0.08277027027027027,w_pair×days_q5
1_0|bin_1,1191,96,0.08060453400503778,w_pair×days_q5
1_0|bin_0,1223,93,0.07604251839738348,w_pair×days_q5
0_1|bin_1,1510,112,0.07417218543046358,w_pair×days_q5
0_0|bin_1,127,8,0.06299212598425197,w_pair×days_q5
1_1|bin_0,140,8,0.05714285714285714,w_pair×days_q5
0_0|bin_0,139,6,0.04316546762589928,w_pair×days_q5
0_1|bin_0,1484,56,0.03773584905660377,w_pair×days_q5
8|bin_4,67,14,0.208955223880597,age_coarse×days_q5
5|bin_4,339,53,0.15634218289085547,age_coarse×days_q5
2|bin_3,606,93,0.15346534653465346,age_coarse×days_q5
7|bin_3,124,19,0.1532258064516129,age_coarse×days_q5
6|bin_3,199,30,0.1507537688442211,age_coarse×days_q5
3|bin_3,716,105,0.14664804469273743,age_coarse×days_q5
2|bin_4,530,72,0.13584905660377358,age_coarse×days_q5
4|bin_3,432,58,0.13425925925925927,age_coarse×days_q5
3|bin_4,653,87,0.1332312404287902,age_coarse×days_q5
5|bin_3,309,41,0.13268608414239483,age_coarse×days_q5
4|bin_2,473,61,0.12896405919661733,age_coarse×days_q5
7|bin_1,55,7,0.12727272727272726,age_coarse×days_q5
1|bin_3,543,68,0.1252302025782689,age_coarse×days_q5
8|bin_3,57,7,0.12280701754385964,age_coarse×days_q5
6|bin_4,237,29,0.12236286919831224,age_coarse×days_q5
4|bin_4,486,59,0.12139917695473251,age_coarse×days_q5
6|bin_2,137,16,0.11678832116788321,age_coarse×days_q5
2|bin_2,601,64,0.1064891846921797,age_coarse×days_q5
3|bin_2,722,74,0.10249307479224377,age_coarse×days_q5
1|bin_4,534,53,0.09925093632958802,age_coarse×days_q5
7|bin_0,41,4,0.0975609756097561,age_coarse×days_q5
2|bin_1,665,58,0.08721804511278196,age_coarse×days_q5
1|bin_2,688,59,0.08575581395348837,age_coarse×days_q5
7|bin_2,71,6,0.08450704225352113,age_coarse×days_q5
3|bin_1,678,57,0.084070796460177,age_coarse×days_q5
7|bin_4,140,11,0.07857142857142857,age_coarse×days_q5
1|bin_1,730,57,0.07808219178082192,age_coarse×days_q5
6|bin_1,147,11,0.07482993197278912,age_coarse×days_q5
5|bin_2,273,20,0.07326007326007326,age_coarse×days_q5
5|bin_1,263,19,0.07224334600760456,age_coarse×days_q5
5|bin_0,273,18,0.06593406593406594,age_coarse×days_q5
3|bin_0,629,41,0.06518282988871224,age_coarse×days_q5
4|bin_0,487,28,0.057494866529774126,age_coarse×days_q5
1|bin_0,807,39,0.048327137546468404,age_coarse×days_q5
2|bin_0,637,29,0.04552590266875981,age_coarse×days_q5
4|bin_1,432,18,0.041666666666666664,age_coarse×days_q5
6|bin_0,98,3,0.030612244897959183,age_coarse×days_q5
